CODETEAM,NAMETEAM
ASV,LDLC ASVEL Villeurbanne
MUN,FC Bayern Munich
ULK,Fenerbahce Beko Istanbul
IST,Anadolu Efes Istanbul
PAR,Partizan Mozzart Bet Belgrade
VIR,Virtus Bologna
PRS,Paris Basketball
DUB,Dubai Basketball
BAR,FC Barcelona
BAS,Baskonia Vitoria-Gasteiz
MAD,Real Madrid
ZAL,Zalgiris Kaunas
TEL,Maccabi Rapyd Tel Aviv
PAM,Valencia Basket
MIL,EA7 Emporio Armani Milan
RED,Crvena Zvezda Meridianbet Belgrade
HTA,Hapoel Tel Aviv
OLY,Olympiacos Piraeus
MCO,AS Monaco
PAN,Panathinaikos AKTOR Athens
